[2848NEWS.XML, 0.6593932]
[5537NEWS.XML, 0.6948223]
[3665NEWS.XML, 0.7064386]
[2792NEWS.XML, 0.7116545]
[2775NEWS.XML, 0.711912]
[2538NEWS.XML, 0.7127348]
[5520NEWS.XML, 0.713433]
[5229NEWS.XML, 0.7136808]
[2836NEWS.XML, 0.714731]
[4289NEWS.XML, 0.7148166]
[2978NEWS.XML, 0.7153553]
[5216NEWS.XML, 0.7159731]
[3902NEWS.XML, 0.7161118]
[4294NEWS.XML, 0.716494]
[5697NEWS.XML, 0.7165918]
[5675NEWS.XML, 0.7175919]
[2504NEWS.XML, 0.7178988]
[5678NEWS.XML, 0.7180158]
[2917NEWS.XML, 0.7182241]
[5104NEWS.XML, 0.7183716]
[3785NEWS.XML, 0.71895]
[5550NEWS.XML, 0.7199485]
[5220NEWS.XML, 0.7231137]
[2988NEWS.XML, 0.7240894]
[2955NEWS.XML, 0.7256929]
[4263NEWS.XML, 0.7258712]
[3813NEWS.XML, 0.7260132]
[2822NEWS.XML, 0.7293834]
[5524NEWS.XML, 0.7315066]
[4206NEWS.XML, 0.733044]
[5541NEWS.XML, 0.7434611]
[5530NEWS.XML, 0.7471089]
[2982NEWS.XML, 0.754488]
[2984NEWS.XML, 0.7782041]
